Round,Pick,Team,Name,Position,School,Signed,Bonus
12,353,New York Mets,Ethan Lanthier,RHP,4YR,Y,"$150,000"
12,354,Pittsburgh Pirates,Camden Janik,C,4YR,Y,"$120,000"
12,355,Cleveland Guardians,Sean Heppner,RHP,4YR,Y,"$150,000"
12,356,Detroit Tigers,Jude Warwick,SS,HS,Y,"$247,500"
12,357,Boston Red Sox,Brady Tygart,RHP,4YR,Y,"$300,000"
12,358,San Francisco Giants,Zander Darby,3B,4YR,Y,"$150,000"
12,359,Cincinnati Reds,Will Cannon,RHP,4YR,Y,"$150,000"
12,360,San Diego Padres,Brandon Butterworth,SS,4YR,Y,"$150,000"
12,361,New York Yankees,Brendan Jones,OF,4YR,Y,"$150,000"
12,362,Chicago Cubs,Daniel Avitia,RHP,4YR,Y,"$150,000"
12,363,Seattle Mariners,Evan Truitt,RHP,4YR,Y,"$150,000"
12,364,Miami Marlins,Connor Caskenette,C,4YR,Y,"$100,000"
12,365,Milwaukee Brewers,Tyson Hardin,RHP,4YR,Y,"$147,500"
12,366,Tampa Bay Rays,Jack Lines,SS,HS,Y,"$397,500"
12,367,Toronto Blue Jays,Carson Messina,RHP,HS,Y,"$550,000"
12,368,Minnesota Twins,Christian Becerra,RHP,4YR,Y,"$150,000"
12,369,Baltimore Orioles,Andrew Tess,C,HS,Y,"$347,500"
12,370,Los Angeles Dodgers,Cody Morse,LHP,JC,Y,"$147,500"
12,371,Atlanta Braves,Cayman Goode,RHP,HS,Y,"$161,500"
12,372,Philadelphia Phillies,A.J. Wilson,LHP,4YR,Y,"$50,000"
12,373,Houston Astros,Ryan Verdugo,RHP,4YR,Y,"$172,500"
12,374,Arizona Diamondbacks,John West,RHP,4YR,Y,"$150,000"
12,375,Texas Rangers,Josh Springer,C,HS,Y,"$200,000"
13,376,Athletics,Riley Huge,LHP,4YR,Y,"$150,000"
13,377,Kansas City Royals,Sam Kulasingam,3B,4YR,Y,"$150,000"
13,378,Colorado Rockies,Justin Loer,LHP,4YR,Y,"$150,000"
13,379,Chicago White Sox,Pierce George,RHP,4YR,Y,"$197,500"
13,380,Washington Nationals,Bryant Olson,LHP,4YR,Y,"$150,000"
13,381,St. Louis Cardinals,Nolan Sparks,RHP,4YR,Y,"$250,000"
13,382,Los Angeles Angels,Fulton Lockhart,RHP,JC,Y,"$150,000"
13,383,New York Mets,R.J. Gordon,RHP,4YR,Y,"$150,000"
13,384,Pittsburgh Pirates,Matt McShane,RHP,4YR,Y,"$150,000"
13,385,Cleveland Guardians,Bennett Thompson,C,4YR,Y,"$150,000"
13,386,Detroit Tigers,Lucas Elissalt,RHP,JC,Y,"$187,500"
13,387,Boston Red Sox,Shea Sprague,LHP,4YR,Y,"$155,000"
13,388,San Francisco Giants,Drake George,RHP,4YR,Y,"$150,000"
13,389,Cincinnati Reds,Anthony Stephan,OF,4YR,Y,"$150,000"
13,390,San Diego Padres,Matthew Watson,RHP,4YR,Y,"$150,000"
13,391,New York Yankees,Dillon Lewis,OF,4YR,Y,"$150,000"
13,392,Chicago Cubs,Evan Aschenbeck,LHP,4YR,Y,"$150,000"
13,393,Seattle Mariners,Brandon Eike,3B,4YR,Y,"$150,000"
13,394,Miami Marlins,Cody Schrier,SS,4YR,Y,"$150,000"
13,395,Milwaukee Brewers,Joseph Broughton,LHP,HS,Y,"$535,000"
13,396,Tampa Bay Rays,Connor Hujsak,OF,4YR,Y,"$150,000"
13,397,Toronto Blue Jays,Brock Tibbitts,C,4YR,Y,"$150,000"
13,398,Minnesota Twins,Xavier Kolhosser,RHP,4YR,Y,"$150,000"
13,399,Baltimore Orioles,Brandon Downer,RHP,4YR,Y,"$150,000"
13,400,Los Angeles Dodgers,Mike Villani,RHP,4YR,Y,"$147,500"
13,401,Atlanta Braves,Colby Jones,SS,JC,Y,"$150,000"
13,402,Philadelphia Phillies,Tegan Cain,RHP,4YR,Y,"$150,000"
13,403,Houston Astros,Bryce Boettcher,OF,4YR,Y,"$150,000"
13,404,Arizona Diamondbacks,Kyle Ayers,RHP,4YR,Y,"$150,000"
13,405,Texas Rangers,Aidan Deakins,LHP,JC,Y,"$150,000"
14,406,Athletics,Ryan Magdic,LHP,4YR,Y,"$35,000"
14,407,Kansas City Royals,Kyle DeGroat,RHP,HS,Y,"$347,500"
14,408,Colorado Rockies,Sam Gerth,RHP,JC,Y,"$300,000"
14,409,Chicago White Sox,Justin Sinibaldi,LHP,4YR,Y,"$150,000"
14,410,Washington Nationals,Yoel Tejeda,RHP,4YR,Y,"$225,000"
14,411,St. Louis Cardinals,Mason Burns,RHP,4YR,Y,"$80,000"
14,412,Los Angeles Angels,Najer Victor,RHP,4YR,Y,"$150,000"
14,413,New York Mets,Tanner Witt,RHP,4YR,Y,"$222,500"
14,414,Pittsburgh Pirates,Ian Farrow,OF,4YR,Y,"$25,000"
14,415,Cleveland Guardians,Ryan Cesarini,OF,4YR,Y,"$150,000"
14,416,Detroit Tigers,Preston Howey,RHP,4YR,Y,"$150,000"
14,417,Boston Red Sox,Alex Bouchard,RHP,4YR,Y,"$150,000"
14,418,San Francisco Giants,Jeremiah Jenkins,1B,4YR,Y,"$150,000"
14,419,Cincinnati Reds,Adrian Areizaga,SS,HS,N,
14,420,San Diego Padres,Brendan Durfee,C,4YR,Y,"$150,000"
